source_book_id,filename,display_name,category,source_family_id,level,role,records,within_book_duplicate_rows
sb:521694fe6dcb82,GMAT_3_T.json,GMAT_3_T,advanced_exam,exam:gmat,advanced,selection_list,3047,0
sb:2306a33e4a04ff,GRE-computer-based-test.json,GRE-computer-based-test,advanced_exam,exam:gre,advanced,selection_list,1451,0
sb:8aa75daa8f9f27,GRE3000_3_T.json,GRE3000_3_T,advanced_exam,exam:gre,advanced,selection_list,3036,0
sb:d3590a44b07684,GRE_1500.json,GRE_1500,advanced_exam,exam:gre,advanced,selection_list,1532,0
sb:d5a4b00b7d684b,GRE_3_T.json,GRE_3_T,advanced_exam,exam:gre,advanced,selection_list,6514,0
sb:e3e4a07bde6e12,GRE_equivalent.json,GRE_equivalent,advanced_exam,exam:gre,advanced,selection_list,827,0
sb:14985e7b2b3999,SAT_3_T.json,SAT_3_T,advanced_exam,exam:sat,advanced,selection_list,4463,0
sb:9aee5931a9402e,ZaiYaoNiMing_GRE3000.json,ZaiYaoNiMing_GRE3000,advanced_exam,exam:gre,advanced,selection_list,3041,7
sb:c0eb65d2be0602,gre-ciyileiji.json,gre-ciyileiji,advanced_exam,exam:gre,advanced,selection_list,8384,0
sb:12878859c3de49,BEC_2_T.json,BEC_2_T,business_exam,exam:bec,business,selection_list,2752,0
sb:cd772002278af2,BEC_3_T.json,BEC_3_T,business_exam,exam:bec,business,selection_list,2824,0
sb:ecf3b3d3d7999e,Duolingo_Vocabulary_B1.json,Duolingo_Vocabulary_B1,cefr_course,course:duolingo,b1,selection_list,801,0
sb:c05668907ef420,Duolingo_Vocabulary_B2.json,Duolingo_Vocabulary_B2,cefr_course,course:duolingo,b2,selection_list,1423,0
sb:7027be8ace3895,Duolingo_Vocabulary_C1.json,Duolingo_Vocabulary_C1,cefr_course,course:duolingo,c1,selection_list,1314,1
sb:65f6a940a3d849,it-words.json,it-words,domain_it,domain:it,specialist,selection_list,1700,0
sb:93d3211c9a1d2f,itVocabulary.json,itVocabulary,domain_it,domain:it,specialist,selection_list,1665,0
sb:2fd724e53f786e,2024HongBao_T1.json,2024HongBao_T1,domestic_exam,exam:kaoyan,academic,selection_list,997,0
sb:1a235b202d8bdd,2024HongBao_T2.json,2024HongBao_T2,domestic_exam,exam:kaoyan,academic,selection_list,854,0
sb:e22375d1775e02,2025KaoYanHongBaoShu.json,2025KaoYanHongBaoShu,domestic_exam,exam:kaoyan,academic,selection_list,6705,3
sb:777382a548c216,926.json,926,domestic_exam,exam:kaoyan,academic,selection_list,926,0
sb:8a8694f48b30c8,CET-4-frequency.json,CET-4-frequency,domestic_exam,exam:cet4,intermediate,selection_list,2607,0
sb:7865443d893cc8,CET4_T.json,CET4_T,domestic_exam,exam:cet4,intermediate,selection_list,2607,0
sb:b31f66f1c19efc,CET6_T.json,CET6_T,domestic_exam,exam:cet6,intermediate,selection_list,2345,0
sb:1c41dc2b297966,DanCiDeJianFa_4.json,DanCiDeJianFa_4,domestic_exam,exam:cet4,intermediate,selection_list,1957,278
sb:ff1577422f7da6,DanCiDeJianFa_6.json,DanCiDeJianFa_6,domestic_exam,exam:cet6,intermediate,selection_list,1949,201
sb:a538cf11dff255,DanCiDeMimi_1.json,DanCiDeMimi_1,domestic_exam,exam:kaoyan,academic,selection_list,4264,0
sb:4fd757443ea2bf,DanCiDeMimi_2.json,DanCiDeMimi_2,domestic_exam,exam:kaoyan,academic,selection_list,2854,0
sb:8a79ac9172e219,English_II.json,English_II,domestic_exam,exam:kaoyan,academic,selection_list,4549,0
sb:586c983738fc9e,GaoKaoZhenTiHeXinGaoPin.json,GaoKaoZhenTiHeXinGaoPin,domestic_exam,exam:gaokao,intermediate,selection_list,799,110
sb:ac36bd5dd806fb,GaoKao_3500.json,GaoKao_3500,domestic_exam,exam:gaokao,intermediate,selection_list,3875,0
sb:98d8ab1a243e10,KaoYanShanGuo_2023.json,KaoYanShanGuo_2023,domestic_exam,exam:kaoyan,academic,selection_list,1771,0
sb:5edd8a45d12385,KaoYan_2024.json,KaoYan_2024,domestic_exam,exam:kaoyan,academic,selection_list,3731,0
sb:15c5e94a520a29,KaoYan_3_T.json,KaoYan_3_T,domestic_exam,exam:kaoyan,academic,selection_list,3727,0
sb:1c75b61e3ab255,Level4luan_2_T.json,Level4luan_2_T,domestic_exam,exam:tem4,intermediate,selection_list,4025,0
sb:01dca7639887e0,Level8luan_2_T.json,Level8luan_2_T,domestic_exam,exam:tem8,advanced,selection_list,12197,0
sb:0236c33fa21026,PETS3-2023.json,PETS3-2023,domestic_exam,exam:public-english,intermediate,selection_list,4439,0
sb:5d86379e55d609,PETS_3.json,PETS_3,domestic_exam,exam:public-english,intermediate,selection_list,1940,0
sb:e3b5d119c0b769,ZhongKaoHeXin.json,ZhongKaoHeXin,domestic_exam,exam:zhongkao,foundation,selection_list,2135,0
sb:582ff217183252,adult-self-study-examination.json,adult-self-study-examination,domestic_exam,exam:self-study,intermediate,selection_list,3692,2
sb:a1fe6036c051f8,gaokao-yuedu-gaopin.json,gaokao-yuedu-gaopin,domestic_exam,exam:gaokao,intermediate,selection_list,688,7
sb:619722837e0c78,hongbaoshu-2026.json,hongbaoshu-2026,domestic_exam,exam:kaoyan,academic,selection_list,4858,88
sb:b59f4002797ebc,kaoyanshanguo2025.json,kaoyanshanguo2025,domestic_exam,exam:kaoyan,academic,selection_list,2257,3
sb:39f20ab5d49576,ket2021.json,ket2021,domestic_exam,exam:public-english,intermediate,selection_list,892,0
sb:9a7b689a75bf0b,pet-vacabulary-list-2024.json,pet-vacabulary-list-2024,domestic_exam,exam:public-english,intermediate,selection_list,1871,334
sb:a7d4c1f96185fa,self-study_English1.json,self-study_English1,domestic_exam,exam:self-study,intermediate,selection_list,1800,2
sb:43af9df8b84a52,self-study_English2.json,self-study_English2,domestic_exam,exam:self-study,intermediate,selection_list,2181,9
sb:f43cf960506943,self-study_English3.json,self-study_English3,domestic_exam,exam:self-study,intermediate,selection_list,4603,436
sb:b1a814e86cd91c,xinghuoqiaoji_4.json,xinghuoqiaoji_4,domestic_exam,exam:cet4,intermediate,selection_list,2522,100
sb:b5adbb79938e05,xinghuoqiaoji_6.json,xinghuoqiaoji_6,domestic_exam,exam:cet6,intermediate,selection_list,7520,1515
sb:a9afb6a494b98c,zhuan-cha-ben.json,zhuan-cha-ben,domestic_exam,exam:transfer-student,intermediate,selection_list,3214,0
sb:dd8fb4309f683e,frequently_used_word01.json,frequently_used_word01,frequency_core,frequency:frequent-series,core,selection_list,679,0
sb:51d499bb697b87,frequently_used_word02.json,frequently_used_word02,frequency_core,frequency:frequent-series,core,selection_list,1040,0
sb:ac357ee130d329,top2000words.json,top2000words,frequency_core,frequency:top2000,core,selection_list,1865,0
sb:20a17e404f356d,Top1000VerbWords.json,Top1000VerbWords,frequency_pos,frequency:part-of-speech,core,selection_list,1011,0
sb:be4a1fc9baf13a,Top1500NounWords.json,Top1500NounWords,frequency_pos,frequency:part-of-speech,core,selection_list,1525,0
sb:afa0805bebc804,Top250AdverbWords.json,Top250AdverbWords,frequency_pos,frequency:part-of-speech,core,selection_list,255,0
sb:eb775d983c7a13,Top500AdjectiveWords.json,Top500AdjectiveWords,frequency_pos,frequency:part-of-speech,core,selection_list,527,0
sb:ee9987adcaaafd,Top50Prepositions.json,Top50Prepositions,frequency_pos,frequency:part-of-speech,core,selection_list,46,0
sb:064465cac43ba5,Top60Pronouns.json,Top60Pronouns,frequency_pos,frequency:part-of-speech,core,selection_list,59,0
sb:d281a1c6f59fb1,3000_ClassRoom_English_Words.json,3000_ClassRoom_English_Words,general_core,reference:classroom3000,core,selection_list,2991,4
sb:79742ee473fa57,4000_Essential_English_Words-meaning.json,4000_Essential_English_Words-meaning,general_core,reference:essential4000,core,selection_list,3600,7
sb:9c7b52f4866440,Longman_Communication_3000.json,Longman_Communication_3000,general_core,reference:longman3000,core,selection_list,3168,10
sb:ef4a086876df2f,Oxford3000.json,Oxford3000,general_core,reference:oxford3000,core,selection_list,1339,0
sb:23f5bf973a5a7b,Cambridge_JOIN_IN.json,Cambridge_JOIN_IN,general_course,course:cambridge-join-in,foundation,selection_list,1350,118
sb:103ac152ce77f6,ReadingExplorer3.json,ReadingExplorer3,general_course,course:reading-explorer,academic,selection_list,239,0
sb:47c1eb69740b8b,YiLin_1.json,YiLin_1,general_course,course:yilin,progressive,selection_list,275,0
sb:35ebf5b27ece48,YiLin_2.json,YiLin_2,general_course,course:yilin,progressive,selection_list,294,0
sb:ce908b5545d0de,YiLin_3.json,YiLin_3,general_course,course:yilin,progressive,selection_list,295,0
sb:a6a96474fe9b13,nce-new-1.json,nce-new-1,general_course,course:new-concept,progressive,selection_list,867,0
sb:662d9a1b9de54c,nce-new-2.json,nce-new-2,general_course,course:new-concept,progressive,selection_list,839,0
sb:6c74a9e662b368,nce-new-3.json,nce-new-3,general_course,course:new-concept,progressive,selection_list,1050,0
sb:485f1ca291c083,nce-new-4.json,nce-new-4,general_course,course:new-concept,progressive,selection_list,784,0
sb:de8af5b02ce54d,tingshuokaoshi.json,tingshuokaoshi,general_course,course:skills,intermediate,selection_list,539,0
sb:ff22bc7c9ed6e2,voa.json,voa,general_course,course:voa,listening,selection_list,1503,0
sb:1317c6462c1bbf,xueshiyingyu.json,xueshiyingyu,general_course,course:skills,intermediate,selection_list,896,0
sb:2c5afe82d3a64f,Macmillan7000.json,Macmillan7000,general_expansion,reference:macmillan7000,expansion,selection_list,6265,0
sb:3628ed4d682dc0,Oxford5000.json,Oxford5000,general_expansion,reference:oxford5000,expansion,selection_list,5497,0
sb:23098e570ba6c2,DuckCircle_IELTS.json,DuckCircle_IELTS,international_exam,exam:ielts,academic,selection_list,2644,37
sb:ca7448776cccab,HeQiong_IELTS.json,HeQiong_IELTS,international_exam,exam:ielts,academic,selection_list,2470,0
sb:433bf5bb0d138a,IELTSKingLu807.json,IELTSKingLu807,international_exam,exam:ielts,academic,selection_list,1852,0
sb:444411781f8569,IELTSVocabularyBible.json,IELTSVocabularyBible,international_exam,exam:ielts,academic,selection_list,3673,43
sb:f91bbeebc300cb,IELTS_3_T.json,IELTS_3_T,international_exam,exam:ielts,academic,selection_list,3575,0
